base_scheme,ablation,ablation_desc,model,repeat,split,n,MAE,RMSE,R
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,train,27802,17.518194853179033,26.056724500168368,0.7383610298900144
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,val,3575,20.128886069933003,28.25167396820036,0.6603349036855015
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,1,test,3290,18.09509939869453,25.63672016920385,0.7390861918258099
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,train,27802,16.22856478372341,24.534369478144544,0.7714580753529187
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,val,3575,19.962943374330344,28.07269779223918,0.6654068503830965
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,2,test,3290,17.82156353206176,25.157253646776795,0.7394679011276216
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,train,27802,17.086599204330135,25.531991045833774,0.7500147290636044
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,val,3575,20.070446241966245,28.11869490640271,0.6649782584223384
S6_LC_DOM_FE_W_CONS,A0_FULL_S6,exact S6 baseline: lc_dom + frac + entropy + weight + consistency,CatBoost,3,test,3290,18.100612040543066,25.512474593997457,0.7337115949944727
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,train,38435,18.769690295315336,27.570980011741113,0.6922431898049857
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,val,4821,17.562034184500014,26.17632286520429,0.5176376285265084
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,1,test,3944,18.983132656415943,27.76167987988918,0.6537643899817328
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,train,38435,19.516511296140624,28.47058708106456,0.6726810260879049
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,val,4821,17.72901909842034,26.276107053919333,0.5103916606912332
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,2,test,3944,19.446596966885846,28.281680609846806,0.6429973947176321
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,3,train,38435,17.234150300340094,25.666200879176003,0.7362682506307573
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,3,val,4821,17.38709634361722,25.78186302504151,0.542496054603569
S6_LC_DOM_FE_W_CONS,A1_NO_CONS,remove consistency filter only,CatBoost,3,test,3944,18.882660512763046,27.27895921642001,0.6613090086276232
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,1,train,27802,17.569127413703526,26.17854255129992,0.7360179272294894
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,1,val,3575,19.952840741696455,28.103525652432356,0.6661606240384741
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,1,test,3290,18.151839093645037,25.638881743759026,0.7346540956818091
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,2,train,27802,17.52103986902778,26.11155631787336,0.7366106872104511
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,2,val,3575,19.83014794931779,27.939132574691847,0.6700908498070575
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,2,test,3290,18.075676523967935,25.633107168836972,0.7339913250927591
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,3,train,27802,16.987802886296553,25.422089297810846,0.7519507338530853
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,3,val,3575,19.971741917672773,28.04540463466913,0.6640904510763712
S6_LC_DOM_FE_W_CONS,A2_NO_WEIGHT,remove lc_weight only,CatBoost,3,test,3290,18.190388893155415,25.57414304905315,0.7306813595838526
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,1,train,27802,17.03963624202593,25.43401712498638,0.7502972153098958
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,1,val,3575,19.923942530948644,28.10065077571962,0.6619746638191024
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,1,test,3290,18.15838438726858,25.556465332262515,0.730106831563032
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,2,train,27802,18.19584840746101,26.86319526638865,0.7163219930125324
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,2,val,3575,20.067792971755917,28.247810277933453,0.6590532755934937
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,2,test,3290,18.48124574771397,26.05778734480714,0.7252480797344736
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,3,train,27802,17.950914485155586,26.540030751803616,0.7249816078990358
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,3,val,3575,19.997335823856083,28.25125847868225,0.6587791949541691
S6_LC_DOM_FE_W_CONS,A3_NO_FRAC_ENTROPY,remove lc_dom_frac and lc_entropy,CatBoost,3,test,3290,18.569822366134147,26.14162181711925,0.7165896312718658
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,1,train,27802,17.585849778118686,26.139418356224276,0.7358801190604982
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,1,val,3575,20.049939826047446,28.165196668000426,0.6628915809692544
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,1,test,3290,18.12139331409334,25.6407820638393,0.7360416017337396
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,2,train,27802,16.121714569917128,24.380831147617823,0.77473564258213
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,2,val,3575,20.124192497331737,28.345401787236675,0.6571322414867591
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,2,test,3290,17.889453358684907,25.407000434105328,0.7373240057350563
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,3,train,27802,16.91729837045032,25.360493381556992,0.7533865162911201
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,3,val,3575,20.021292665240427,28.161113709255808,0.6631803995234997
S6_LC_DOM_FE_W_CONS,A4_NO_FRAC,remove lc_dom_frac only,CatBoost,3,test,3290,18.00294285579602,25.39339562654858,0.7374079802251976
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,1,train,27802,16.74707826921037,25.1248914391714,0.7584687674125451
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,1,val,3575,20.053079831411974,28.21624135100215,0.6606496622264141
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,1,test,3290,18.138399202218295,25.539638892776164,0.7310841157839869
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,2,train,27802,16.90992375364544,25.37095277377386,0.7531719642137663
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,2,val,3575,20.278954223808825,28.44552955053953,0.6530027631666416
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,2,test,3290,18.352117472009166,25.8891609457027,0.7233301519459278
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,3,train,27802,17.56239487319104,26.115328647893357,0.7365792800056483
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,3,val,3575,20.090089066896745,28.209679155479932,0.6612348732307594
S6_LC_DOM_FE_W_CONS,A5_NO_ENTROPY,remove lc_entropy only,CatBoost,3,test,3290,18.33918080473771,25.788168562705327,0.7285071925414303
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,1,train,27802,17.430093577487447,25.892823032244596,0.740913525766045
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,1,val,3575,20.20634596485335,28.30765648844265,0.6575315535113145
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,1,test,3290,18.187020275710214,25.719550119676313,0.731026058136115
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,2,train,27802,17.33617536486371,25.772545299369092,0.743072348361675
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,2,val,3575,20.247366932872723,28.325961399257203,0.6568734282317813
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,2,test,3290,18.087659597891548,25.6167597520738,0.7321691598071043
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,3,train,27802,17.185119417283207,25.591270019777472,0.7473375865045105
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,3,val,3575,20.05383531273186,28.17995865877156,0.6622842155033998
S6_LC_DOM_FE_W_CONS,A6_NO_VOD,remove all VOD features,CatBoost,3,test,3290,17.935861017775963,25.499570527718458,0.7339624628259022
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,1,train,27802,18.76319898121478,27.63059783064883,0.6964023477028461
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,1,val,3575,20.73163277198042,29.170425094962564,0.6340686489486724
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,1,test,3290,18.919542443024383,26.375656780054793,0.6995381838291429
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,2,train,27802,19.424037268912677,28.43679871884426,0.6738101997127077
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,2,val,3575,20.8169864857333,29.35029001644891,0.6314053957113956
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,2,test,3290,19.10119495445942,26.677579983211654,0.6933667472225921
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,3,train,27802,19.48708223866958,28.516502814079303,0.6715925616820456
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,3,val,3575,20.807736997922614,29.35497322520229,0.6315846391289107
S6_LC_DOM_FE_W_CONS,A7_NO_CORE,remove LAI/Hveg/SM/LST,CatBoost,3,test,3290,19.120319619627065,26.659532798450236,0.696710351229917
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,1,train,27802,21.011930355751787,30.923864816473245,0.6054426627129703
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,1,val,3575,23.333681957116408,32.58875884806569,0.5343545972911876
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,1,test,3290,22.82538556388955,32.17914441426612,0.5531514582063555
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,2,train,27802,20.12201275646918,29.9118577454763,0.6377997349716821
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,2,val,3575,23.23951779970254,32.45824216604306,0.5302567963990102
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,2,test,3290,22.7506047205713,31.85782834477774,0.561125468382926
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,3,train,27802,20.668883339877908,30.499533769228037,0.6197039690467976
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,3,val,3575,23.12863773439541,32.358455400110614,0.5409059877384474
S6_LC_DOM_FE_W_CONS,A8_NO_SEASON,remove doy_sin/doy_cos/lat_norm,CatBoost,3,test,3290,22.918712652670408,32.07295480143281,0.5476177944560213
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,1,train,27802,17.084492187145834,25.57725549624044,0.7488570937718467
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,1,val,3575,20.074665244043008,28.198450955532376,0.6615263849920621
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,1,test,3290,17.956472534703483,25.517456236773626,0.7384705268437513
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,2,train,27802,17.36457064278566,25.874974770784313,0.742029303626627
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,2,val,3575,20.231091706781147,28.354123763899423,0.6572866365685808
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,2,test,3290,18.35077043649125,25.78023798609791,0.7278997513832166
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,3,train,27802,17.103356077647955,25.577585153746103,0.7489531981312937
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,3,val,3575,20.174063335641186,28.360061647600695,0.6574391288556689
S6_LC_DOM_FE_W_CONS,A9_NO_IGBP_PROPS,remove IGBP_prop_* numeric features,CatBoost,3,test,3290,18.146849462086927,25.594081881631773,0.7321607664864824
