scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,1,train,27802,20.353300906670075,29.32071060507335,0.6357311686322837
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,1,val,3575,20.49388212670813,28.670519840660308,0.64086996855496
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,1,test,3290,19.342578021516193,26.73925688223297,0.6808015984454707
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,1,train,27802,20.189996281173382,29.19599095438141,0.6431864309064268
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,1,val,3575,20.306611864316714,28.651697225906165,0.6441027733892266
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,1,test,3290,19.401119790758404,26.870144839329424,0.6870069103725561
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,1,train,27802,20.61140551709261,29.700454503618314,0.6315559746075073
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,1,val,3575,20.562027508395534,29.13745818465671,0.639238439960311
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,1,test,3290,20.50612887437583,28.12309742596737,0.6516749868160169
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,1,train,27802,20.470251922058242,29.56322301831821,0.6313493010771242
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,1,val,3575,20.36382183848561,28.5723584272613,0.6462773238825751
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,1,test,3290,19.323811563822275,26.857552492679478,0.6912379501178647
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,1,train,27802,18.786987230105584,27.413164701929215,0.6923115384602796
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,1,val,3575,20.607260096089824,29.090722502338753,0.6363310495101976
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,1,test,3290,18.84626748772015,26.330810890025496,0.7013514894832883
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,1,train,27802,19.19614194185517,27.838585019151427,0.6774002175427453
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,1,val,3575,19.688870994194403,27.714749475548427,0.6708626106786267
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,1,test,3290,17.925238712797775,25.014247613454422,0.7244797641856211
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,2,train,27802,20.231133132784944,29.3023862233929,0.6427235819352364
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,2,val,3575,20.382005281781815,28.70374998923405,0.6444836451407548
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,2,test,3290,19.70605605423994,27.254461899305557,0.6753988593656658
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,2,train,27802,18.77075623974561,27.45573417850075,0.6906005169556797
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,2,val,3575,19.916732947609642,27.873522489244294,0.6703734401070855
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,2,test,3290,18.64304731856001,25.76738370201905,0.7097258989251745
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,2,train,27802,18.599853238110303,27.077332419470878,0.6971520260190913
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,2,val,3575,20.160217150174656,28.105488669678383,0.6558927195424967
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,2,test,3290,19.306032333547947,26.52537592013283,0.671786055643141
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,2,train,27802,20.831367982024727,29.74878603659602,0.6177548464075826
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,2,val,3575,20.33812988548012,28.42455398251991,0.6473644142595634
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,2,test,3290,19.342678550963708,26.69620401809976,0.6849736810362647
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,2,train,27802,18.703743850376167,27.555052224261072,0.6844074601732238
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,2,val,3575,20.32599455453299,28.84888523158398,0.6356802244869351
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,2,test,3290,19.310307481006287,27.220991121835578,0.6578155628707818
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,2,train,27802,19.009118699768482,27.74778294398154,0.6810527444071328
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,2,val,3575,19.766616869839755,27.91984834779228,0.664103887101612
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,2,test,3290,17.83704631509752,24.926834046269004,0.7299671278690044
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,3,train,27802,19.99159050007517,28.978192088775074,0.6489718165437827
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,3,val,3575,20.435057731041542,28.689442253174658,0.6434956090858851
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_base,3,test,3290,19.39440347590345,26.820780737687258,0.6828894481843042
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,3,train,27802,18.993844197341996,27.702370187405737,0.683393478792005
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,3,val,3575,19.852124547891684,27.89314940319801,0.6669940532971597
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,3,test,3290,19.15711339788234,26.436249533914175,0.6908835105371866
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,train,27802,19.498906422455477,27.619612994420468,0.6824134466914907
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,val,3575,20.456379427076218,28.24117262145182,0.6524061660647685
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,test,3290,19.765755840347893,26.718830397189297,0.6656382391955615
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,train,27802,21.144854441991548,30.26886582313393,0.6082309261842126
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,val,3575,20.53524385518961,28.90685326175467,0.6366764445668556
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,test,3290,19.660518679575354,27.213008844096326,0.6778843635007362
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,train,27802,19.22614202731102,28.285286234463488,0.6667808882983967
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,val,3575,21.058137426309653,29.879165143726553,0.6042926254913853
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,test,3290,18.68336017081078,26.55444897470058,0.6957301474535232
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,train,27802,18.543972451526837,27.195055626389966,0.694896050464536
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,val,3575,19.56173263496452,27.763427972280663,0.6738018816828787
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,test,3290,17.698256525370127,24.82737325201902,0.7231986118227774
