block_id,_block_lat,_block_lon,split,n_window_samples,lat_min,lat_max,lon_min,lon_max,lat_center,lon_center,split_code
103_650,103,650,train,3,-38.5,-38.0,145.0,145.5,-38.25,145.25,1
103_651,103,651,train,1,-38.5,-38.0,145.5,146.0,-38.25,145.75,1
105_224,105,224,train,2,-37.5,-37.0,-68.0,-67.5,-37.25,-67.75,1
105_648,105,648,train,6,-37.5,-37.0,144.0,144.5,-37.25,144.25,1
107_225,107,225,train,3,-36.5,-36.0,-67.5,-67.0,-36.25,-67.25,1
107_226,107,226,train,3,-36.5,-36.0,-67.0,-66.5,-36.25,-66.75,1
107_227,107,227,train,9,-36.5,-36.0,-66.5,-66.0,-36.25,-66.25,1
107_653,107,653,train,4,-36.5,-36.0,146.5,147.0,-36.25,146.75,1
108_656,108,656,train,3,-36.0,-35.5,148.0,148.5,-35.75,148.25,1
108_657,108,657,train,9,-36.0,-35.5,148.5,149.0,-35.75,148.75,1
109_657,109,657,train,20,-35.5,-35.0,148.5,149.0,-35.25,148.75,1
109_658,109,658,train,19,-35.5,-35.0,149.0,149.5,-35.25,149.25,1
109_659,109,659,train,16,-35.5,-35.0,149.5,150.0,-35.25,149.75,1
112_661,112,661,train,4,-34.0,-33.5,150.5,151.0,-33.75,150.75,1
113_661,113,661,train,2,-33.5,-33.0,150.5,151.0,-33.25,150.75,1
127_603,127,603,val,1,-26.5,-26.0,121.5,122.0,-26.25,121.75,2
145_610,145,610,train,2,-17.5,-17.0,125.0,125.5,-17.25,125.25,1
148_616,148,616,train,4,-16.0,-15.5,128.0,128.5,-15.75,128.25,1
207_329,207,329,train,17,13.5,14.0,-15.5,-15.0,13.75,-15.25,1
210_330,210,330,train,16,15.0,15.5,-15.0,-14.5,15.25,-14.75,1
232_162,232,162,train,28,26.0,26.5,-99.0,-98.5,26.25,-98.75,1
235_163,235,163,train,30,27.5,28.0,-98.5,-98.0,27.75,-98.25,1
236_161,236,161,train,91,28.0,28.5,-99.5,-99.0,28.25,-99.25,1
236_163,236,163,train,26,28.0,28.5,-98.5,-98.0,28.25,-98.25,1
238_153,238,153,train,58,29.0,29.5,-103.5,-103.0,29.25,-103.25,1
239_159,239,159,train,31,29.5,30.0,-100.5,-100.0,29.75,-100.25,1
239_162,239,162,train,127,29.5,30.0,-99.0,-98.5,29.75,-98.75,1
239_163,239,163,train,73,29.5,30.0,-98.5,-98.0,29.75,-98.25,1
239_164,239,164,train,44,29.5,30.0,-98.0,-97.5,29.75,-97.75,1
239_167,239,167,train,44,29.5,30.0,-96.5,-96.0,29.75,-96.25,1
240_151,240,151,train,65,30.0,30.5,-104.5,-104.0,30.25,-104.25,1
240_153,240,153,train,50,30.0,30.5,-103.5,-103.0,30.25,-103.25,1
240_154,240,154,val,73,30.0,30.5,-103.0,-102.5,30.25,-102.75,2
240_156,240,156,train,50,30.0,30.5,-102.0,-101.5,30.25,-101.75,1
240_158,240,158,train,62,30.0,30.5,-101.0,-100.5,30.25,-100.75,1
240_160,240,160,train,94,30.0,30.5,-100.0,-99.5,30.25,-99.75,1
240_162,240,162,train,107,30.0,30.5,-99.0,-98.5,30.25,-98.75,1
240_165,240,165,train,25,30.0,30.5,-97.5,-97.0,30.25,-97.25,1
240_168,240,168,train,27,30.0,30.5,-96.0,-95.5,30.25,-95.75,1
240_169,240,169,train,5,30.0,30.5,-95.5,-95.0,30.25,-95.25,1
240_171,240,171,train,109,30.0,30.5,-94.5,-94.0,30.25,-94.25,1
241_152,241,152,train,35,30.5,31.0,-104.0,-103.5,30.75,-103.75,1
241_157,241,157,train,115,30.5,31.0,-101.5,-101.0,30.75,-101.25,1
241_161,241,161,val,79,30.5,31.0,-99.5,-99.0,30.75,-99.25,2
241_163,241,163,train,21,30.5,31.0,-98.5,-98.0,30.75,-98.25,1
241_168,241,168,train,139,30.5,31.0,-96.0,-95.5,30.75,-95.75,1
241_171,241,171,train,86,30.5,31.0,-94.5,-94.0,30.75,-94.25,1
241_172,241,172,train,185,30.5,31.0,-94.0,-93.5,30.75,-93.75,1
242_137,242,137,test,27,31.0,31.5,-111.5,-111.0,31.25,-111.25,3
242_158,242,158,train,71,31.0,31.5,-101.0,-100.5,31.25,-100.75,1
242_163,242,163,train,96,31.0,31.5,-98.5,-98.0,31.25,-98.25,1
242_165,242,165,train,45,31.0,31.5,-97.5,-97.0,31.25,-97.25,1
242_169,242,169,train,119,31.0,31.5,-95.5,-95.0,31.25,-95.25,1
242_170,242,170,train,218,31.0,31.5,-95.0,-94.5,31.25,-94.75,1
242_171,242,171,train,31,31.0,31.5,-94.5,-94.0,31.25,-94.25,1
243_155,243,155,val,7,31.5,32.0,-102.5,-102.0,31.75,-102.25,2
243_158,243,158,train,89,31.5,32.0,-101.0,-100.5,31.75,-100.75,1
243_160,243,160,train,109,31.5,32.0,-100.0,-99.5,31.75,-99.75,1
243_162,243,162,test,33,31.5,32.0,-99.0,-98.5,31.75,-98.75,3
243_164,243,164,train,43,31.5,32.0,-98.0,-97.5,31.75,-97.75,1
243_168,243,168,train,100,31.5,32.0,-96.0,-95.5,31.75,-95.75,1
244_150,244,150,train,91,32.0,32.5,-105.0,-104.5,32.25,-104.75,1
244_157,244,157,train,7,32.0,32.5,-101.5,-101.0,32.25,-101.25,1
244_159,244,159,train,78,32.0,32.5,-100.5,-100.0,32.25,-100.25,1
244_164,244,164,test,113,32.0,32.5,-98.0,-97.5,32.25,-97.75,3
244_170,244,170,train,100,32.0,32.5,-95.0,-94.5,32.25,-94.75,1
245_126,245,126,train,170,32.5,33.0,-117.0,-116.5,32.75,-116.75,1
245_127,245,127,train,51,32.5,33.0,-116.5,-116.0,32.75,-116.25,1
245_140,245,140,test,10,32.5,33.0,-110.0,-109.5,32.75,-109.75,3
245_141,245,141,train,21,32.5,33.0,-109.5,-109.0,32.75,-109.25,1
245_143,245,143,val,5,32.5,33.0,-108.5,-108.0,32.75,-108.25,2
245_148,245,148,test,14,32.5,33.0,-106.0,-105.5,32.75,-105.75,3
245_149,245,149,train,37,32.5,33.0,-105.5,-105.0,32.75,-105.25,1
245_151,245,151,train,51,32.5,33.0,-104.5,-104.0,32.75,-104.25,1
245_161,245,161,train,28,32.5,33.0,-99.5,-99.0,32.75,-99.25,1
245_162,245,162,train,107,32.5,33.0,-99.0,-98.5,32.75,-98.75,1
245_167,245,167,test,5,32.5,33.0,-96.5,-96.0,32.75,-96.25,3
245_169,245,169,train,27,32.5,33.0,-95.5,-95.0,32.75,-95.25,1
245_171,245,171,train,346,32.5,33.0,-94.5,-94.0,32.75,-94.25,1
246_125,246,125,train,66,33.0,33.5,-117.5,-117.0,33.25,-117.25,1
246_126,246,126,val,10,33.0,33.5,-117.0,-116.5,33.25,-116.75,2
246_138,246,138,test,50,33.0,33.5,-111.0,-110.5,33.25,-110.75,3
246_141,246,141,train,6,33.0,33.5,-109.5,-109.0,33.25,-109.25,1
246_157,246,157,val,35,33.0,33.5,-101.5,-101.0,33.25,-101.25,2
246_164,246,164,train,96,33.0,33.5,-98.0,-97.5,33.25,-97.75,1
247_126,247,126,val,15,33.5,34.0,-117.0,-116.5,33.75,-116.75,2
247_137,247,137,train,19,33.5,34.0,-111.5,-111.0,33.75,-111.25,1
247_138,247,138,test,10,33.5,34.0,-111.0,-110.5,33.75,-110.75,3
247_141,247,141,train,50,33.5,34.0,-109.5,-109.0,33.75,-109.25,1
247_142,247,142,train,4,33.5,34.0,-109.0,-108.5,33.75,-108.75,1
247_145,247,145,train,13,33.5,34.0,-107.5,-107.0,33.75,-107.25,1
247_147,247,147,train,16,33.5,34.0,-106.5,-106.0,33.75,-106.25,1
247_154,247,154,train,20,33.5,34.0,-103.0,-102.5,33.75,-102.75,1
247_163,247,163,train,36,33.5,34.0,-98.5,-98.0,33.75,-98.25,1
247_168,247,168,train,56,33.5,34.0,-96.0,-95.5,33.75,-95.75,1
247_169,247,169,train,1,33.5,34.0,-95.5,-95.0,33.75,-95.25,1
247_565,247,565,train,1,33.5,34.0,102.5,103.0,33.75,102.75,1
248_121,248,121,test,38,34.0,34.5,-119.5,-119.0,34.25,-119.25,3
248_122,248,122,train,257,34.0,34.5,-119.0,-118.5,34.25,-118.75,1
248_134,248,134,train,29,34.0,34.5,-113.0,-112.5,34.25,-112.75,1
248_137,248,137,train,42,34.0,34.5,-111.5,-111.0,34.25,-111.25,1
248_138,248,138,train,11,34.0,34.5,-111.0,-110.5,34.25,-110.75,1
248_143,248,143,train,9,34.0,34.5,-108.5,-108.0,34.25,-108.25,1
248_144,248,144,train,37,34.0,34.5,-108.0,-107.5,34.25,-107.75,1
248_159,248,159,train,147,34.0,34.5,-100.5,-100.0,34.25,-100.25,1
248_160,248,160,train,54,34.0,34.5,-100.0,-99.5,34.25,-99.75,1
249_121,249,121,train,124,34.5,35.0,-119.5,-119.0,34.75,-119.25,1
249_122,249,122,train,3,34.5,35.0,-119.0,-118.5,34.75,-118.75,1
249_134,249,134,train,20,34.5,35.0,-113.0,-112.5,34.75,-112.75,1
249_135,249,135,val,16,34.5,35.0,-112.5,-112.0,34.75,-112.25,2
249_136,249,136,train,14,34.5,35.0,-112.0,-111.5,34.75,-111.75,1
249_137,249,137,train,40,34.5,35.0,-111.5,-111.0,34.75,-111.25,1
249_142,249,142,val,62,34.5,35.0,-109.0,-108.5,34.75,-108.75,2
249_143,249,143,train,66,34.5,35.0,-108.5,-108.0,34.75,-108.25,1
249_147,249,147,train,35,34.5,35.0,-106.5,-106.0,34.75,-106.25,1
249_156,249,156,train,72,34.5,35.0,-102.0,-101.5,34.75,-101.75,1
250_118,250,118,train,123,35.0,35.5,-121.0,-120.5,35.25,-120.75,1
250_119,250,119,train,78,35.0,35.5,-120.5,-120.0,35.25,-120.25,1
250_135,250,135,train,19,35.0,35.5,-112.5,-112.0,35.25,-112.25,1
250_136,250,136,train,4,35.0,35.5,-112.0,-111.5,35.25,-111.75,1
250_142,250,142,test,36,35.0,35.5,-109.0,-108.5,35.25,-108.75,3
251_123,251,123,train,15,35.5,36.0,-118.5,-118.0,35.75,-118.25,1
251_136,251,136,val,3,35.5,36.0,-112.0,-111.5,35.75,-111.75,2
251_141,251,141,train,36,35.5,36.0,-109.5,-109.0,35.75,-109.25,1
251_146,251,146,train,11,35.5,36.0,-107.0,-106.5,35.75,-106.75,1
251_147,251,147,train,6,35.5,36.0,-106.5,-106.0,35.75,-106.25,1
251_148,251,148,train,48,35.5,36.0,-106.0,-105.5,35.75,-105.75,1
251_149,251,149,train,36,35.5,36.0,-105.5,-105.0,35.75,-105.25,1
251_159,251,159,train,65,35.5,36.0,-100.5,-100.0,35.75,-100.25,1
252_122,252,122,train,7,36.0,36.5,-119.0,-118.5,36.25,-118.75,1
252_128,252,128,train,1,36.0,36.5,-116.0,-115.5,36.25,-115.75,1
252_132,252,132,train,78,36.0,36.5,-114.0,-113.5,36.25,-113.75,1
252_133,252,133,train,96,36.0,36.5,-113.5,-113.0,36.25,-113.25,1
252_135,252,135,val,49,36.0,36.5,-112.5,-112.0,36.25,-112.25,2
252_136,252,136,train,13,36.0,36.5,-112.0,-111.5,36.25,-111.75,1
252_142,252,142,train,93,36.0,36.5,-109.0,-108.5,36.25,-108.75,1
252_144,252,144,train,11,36.0,36.5,-108.0,-107.5,36.25,-107.75,1
252_146,252,146,train,72,36.0,36.5,-107.0,-106.5,36.25,-106.75,1
252_147,252,147,test,56,36.0,36.5,-106.5,-106.0,36.25,-106.25,3
252_148,252,148,train,147,36.0,36.5,-106.0,-105.5,36.25,-105.75,1
252_197,252,197,val,1,36.0,36.5,-81.5,-81.0,36.25,-81.25,2
253_122,253,122,train,31,36.5,37.0,-119.0,-118.5,36.75,-118.75,1
253_132,253,132,test,105,36.5,37.0,-114.0,-113.5,36.75,-113.75,3
253_135,253,135,train,113,36.5,37.0,-112.5,-112.0,36.75,-112.25,1
253_144,253,144,train,4,36.5,37.0,-108.0,-107.5,36.75,-107.75,1
253_145,253,145,val,255,36.5,37.0,-107.5,-107.0,36.75,-107.25,2
253_147,253,147,train,21,36.5,37.0,-106.5,-106.0,36.75,-106.25,1
253_148,253,148,train,87,36.5,37.0,-106.0,-105.5,36.75,-105.75,1
253_149,253,149,val,84,36.5,37.0,-105.5,-105.0,36.75,-105.25,2
254_116,254,116,test,9,37.0,37.5,-122.0,-121.5,37.25,-121.75,3
254_120,254,120,train,18,37.0,37.5,-120.0,-119.5,37.25,-119.75,1
254_130,254,130,train,2,37.0,37.5,-115.0,-114.5,37.25,-114.75,1
254_133,254,133,train,44,37.0,37.5,-113.5,-113.0,37.25,-113.25,1
254_142,254,142,train,38,37.0,37.5,-109.0,-108.5,37.25,-108.75,1
254_143,254,143,train,23,37.0,37.5,-108.5,-108.0,37.25,-108.25,1
254_144,254,144,train,32,37.0,37.5,-108.0,-107.5,37.25,-107.75,1
254_145,254,145,train,43,37.0,37.5,-107.5,-107.0,37.25,-107.25,1
254_147,254,147,train,115,37.0,37.5,-106.5,-106.0,37.25,-106.25,1
254_153,254,153,train,75,37.0,37.5,-103.5,-103.0,37.25,-103.25,1
254_154,254,154,train,75,37.0,37.5,-103.0,-102.5,37.25,-102.75,1
254_156,254,156,train,41,37.0,37.5,-102.0,-101.5,37.25,-101.75,1
254_558,254,558,train,1,37.0,37.5,99.0,99.5,37.25,99.25,1
255_119,255,119,train,2,37.5,38.0,-120.5,-120.0,37.75,-120.25,1
255_120,255,120,train,112,37.5,38.0,-120.0,-119.5,37.75,-119.75,1
255_121,255,121,train,38,37.5,38.0,-119.5,-119.0,37.75,-119.25,1
255_122,255,122,train,23,37.5,38.0,-119.0,-118.5,37.75,-118.75,1
255_131,255,131,train,60,37.5,38.0,-114.5,-114.0,37.75,-114.25,1
255_132,255,132,train,50,37.5,38.0,-114.0,-113.5,37.75,-113.75,1
255_134,255,134,train,101,37.5,38.0,-113.0,-112.5,37.75,-112.75,1
255_135,255,135,train,62,37.5,38.0,-112.5,-112.0,37.75,-112.25,1
255_136,255,136,test,121,37.5,38.0,-112.0,-111.5,37.75,-111.75,3
255_140,255,140,train,192,37.5,38.0,-110.0,-109.5,37.75,-109.75,1
255_142,255,142,train,52,37.5,38.0,-109.0,-108.5,37.75,-108.75,1
255_146,255,146,train,74,37.5,38.0,-107.0,-106.5,37.75,-106.75,1
255_149,255,149,train,118,37.5,38.0,-105.5,-105.0,37.75,-105.25,1
255_151,255,151,train,67,37.5,38.0,-104.5,-104.0,37.75,-104.25,1
255_152,255,152,train,136,37.5,38.0,-104.0,-103.5,37.75,-103.75,1
256_118,256,118,val,54,38.0,38.5,-121.0,-120.5,38.25,-120.75,2
256_119,256,119,test,25,38.0,38.5,-120.5,-120.0,38.25,-120.25,3
256_121,256,121,train,175,38.0,38.5,-119.5,-119.0,38.25,-119.25,1
256_132,256,132,train,63,38.0,38.5,-114.0,-113.5,38.25,-113.75,1
256_134,256,134,test,12,38.0,38.5,-113.0,-112.5,38.25,-112.75,3
256_135,256,135,train,22,38.0,38.5,-112.5,-112.0,38.25,-112.25,1
256_137,256,137,train,88,38.0,38.5,-111.5,-111.0,38.25,-111.25,1
256_138,256,138,train,55,38.0,38.5,-111.0,-110.5,38.25,-110.75,1
256_141,256,141,val,195,38.0,38.5,-109.5,-109.0,38.25,-109.25,2
256_143,256,143,train,41,38.0,38.5,-108.5,-108.0,38.25,-108.25,1
256_144,256,144,train,21,38.0,38.5,-108.0,-107.5,38.25,-107.75,1
256_145,256,145,train,56,38.0,38.5,-107.5,-107.0,38.25,-107.25,1
256_146,256,146,train,60,38.0,38.5,-107.0,-106.5,38.25,-106.75,1
256_147,256,147,test,10,38.0,38.5,-106.5,-106.0,38.25,-106.25,3
256_148,256,148,train,95,38.0,38.5,-106.0,-105.5,38.25,-105.75,1
256_149,256,149,train,80,38.0,38.5,-105.5,-105.0,38.25,-105.25,1
256_150,256,150,train,90,38.0,38.5,-105.0,-104.5,38.25,-104.75,1
256_414,256,414,train,1,38.0,38.5,27.0,27.5,38.25,27.25,1
257_114,257,114,val,40,38.5,39.0,-123.0,-122.5,38.75,-122.75,2
257_117,257,117,train,12,38.5,39.0,-121.5,-121.0,38.75,-121.25,1
257_118,257,118,train,16,38.5,39.0,-121.0,-120.5,38.75,-120.75,1
257_119,257,119,train,25,38.5,39.0,-120.5,-120.0,38.75,-120.25,1
257_120,257,120,train,34,38.5,39.0,-120.0,-119.5,38.75,-119.75,1
257_129,257,129,train,35,38.5,39.0,-115.5,-115.0,38.75,-115.25,1
257_130,257,130,train,139,38.5,39.0,-115.0,-114.5,38.75,-114.75,1
257_134,257,134,train,155,38.5,39.0,-113.0,-112.5,38.75,-112.75,1
257_135,257,135,train,45,38.5,39.0,-112.5,-112.0,38.75,-112.25,1
257_136,257,136,train,32,38.5,39.0,-112.0,-111.5,38.75,-111.75,1
257_142,257,142,train,22,38.5,39.0,-109.0,-108.5,38.75,-108.75,1
257_143,257,143,train,5,38.5,39.0,-108.5,-108.0,38.75,-108.25,1
257_144,257,144,train,105,38.5,39.0,-108.0,-107.5,38.75,-107.75,1
257_147,257,147,train,85,38.5,39.0,-106.5,-106.0,38.75,-106.25,1
257_148,257,148,train,192,38.5,39.0,-106.0,-105.5,38.75,-105.75,1
257_149,257,149,train,80,38.5,39.0,-105.5,-105.0,38.75,-105.25,1
257_203,257,203,train,3,38.5,39.0,-78.5,-78.0,38.75,-78.25,1
258_113,258,113,train,167,39.0,39.5,-123.5,-123.0,39.25,-123.25,1
258_114,258,114,train,95,39.0,39.5,-123.0,-122.5,39.25,-122.75,1
258_115,258,115,test,11,39.0,39.5,-122.5,-122.0,39.25,-122.25,3
258_117,258,117,test,35,39.0,39.5,-121.5,-121.0,39.25,-121.25,3
258_118,258,118,train,5,39.0,39.5,-121.0,-120.5,39.25,-120.75,1
258_119,258,119,train,5,39.0,39.5,-120.5,-120.0,39.25,-120.25,1
258_124,258,124,train,85,39.0,39.5,-118.0,-117.5,39.25,-117.75,1
258_128,258,128,train,57,39.0,39.5,-116.0,-115.5,39.25,-115.75,1
258_130,258,130,train,254,39.0,39.5,-115.0,-114.5,39.25,-114.75,1
258_133,258,133,train,181,39.0,39.5,-113.5,-113.0,39.25,-113.25,1
258_137,258,137,test,6,39.0,39.5,-111.5,-111.0,39.25,-111.25,3
258_138,258,138,train,36,39.0,39.5,-111.0,-110.5,39.25,-110.75,1
258_141,258,141,test,295,39.0,39.5,-109.5,-109.0,39.25,-109.25,3
258_143,258,143,test,34,39.0,39.5,-108.5,-108.0,39.25,-108.25,3
258_144,258,144,train,39,39.0,39.5,-108.0,-107.5,39.25,-107.75,1
258_145,258,145,train,4,39.0,39.5,-107.5,-107.0,39.25,-107.25,1
258_147,258,147,train,168,39.0,39.5,-106.5,-106.0,39.25,-106.25,1
258_148,258,148,train,36,39.0,39.5,-106.0,-105.5,39.25,-105.75,1
258_149,258,149,train,97,39.0,39.5,-105.5,-105.0,39.25,-105.25,1
258_350,258,350,train,25,39.0,39.5,-5.0,-4.5,39.25,-4.75,1
258_351,258,351,train,47,39.0,39.5,-4.5,-4.0,39.25,-4.25,1
259_113,259,113,train,110,39.5,40.0,-123.5,-123.0,39.75,-123.25,1
259_114,259,114,train,11,39.5,40.0,-123.0,-122.5,39.75,-122.75,1
259_116,259,116,train,3,39.5,40.0,-122.0,-121.5,39.75,-121.75,1
259_117,259,117,train,13,39.5,40.0,-121.5,-121.0,39.75,-121.25,1
259_118,259,118,train,29,39.5,40.0,-121.0,-120.5,39.75,-120.75,1
259_119,259,119,train,21,39.5,40.0,-120.5,-120.0,39.75,-120.25,1
259_120,259,120,train,20,39.5,40.0,-120.0,-119.5,39.75,-119.75,1
259_125,259,125,train,110,39.5,40.0,-117.5,-117.0,39.75,-117.25,1
259_135,259,135,train,243,39.5,40.0,-112.5,-112.0,39.75,-112.25,1
259_137,259,137,train,6,39.5,40.0,-111.5,-111.0,39.75,-111.25,1
259_138,259,138,val,55,39.5,40.0,-111.0,-110.5,39.75,-110.75,2
259_139,259,139,val,74,39.5,40.0,-110.5,-110.0,39.75,-110.25,2
259_142,259,142,train,53,39.5,40.0,-109.0,-108.5,39.75,-108.75,1
259_144,259,144,train,139,39.5,40.0,-108.0,-107.5,39.75,-107.75,1
259_147,259,147,test,74,39.5,40.0,-106.5,-106.0,39.75,-106.25,3
259_148,259,148,train,83,39.5,40.0,-106.0,-105.5,39.75,-105.75,1
259_149,259,149,train,12,39.5,40.0,-105.5,-105.0,39.75,-105.25,1
259_348,259,348,val,26,39.5,40.0,-6.0,-5.5,39.75,-5.75,2
260_112,260,112,val,5,40.0,40.5,-124.0,-123.5,40.25,-123.75,2
260_113,260,113,train,9,40.0,40.5,-123.5,-123.0,40.25,-123.25,1
260_116,260,116,train,3,40.0,40.5,-122.0,-121.5,40.25,-121.75,1
260_117,260,117,train,46,40.0,40.5,-121.5,-121.0,40.25,-121.25,1
